No of Blocks,Label,Time
3,more than 50,0.0177
3,0-19,0.0174
3,more than 50,0.0158
3,more than 50,0.0169
3,more than 50,0.0169
2,more than 50,0.0146
3,0-19,0.0167
2,0-19,0.0147
3,more than 50,0.0166
2,0-19,0.0147
1,more than 50,0.0089
3,20-49,0.0176
3,more than 50,0.0176
2,more than 50,0.0142
3,0-19,0.0184
3,more than 50,0.0181
3,20-49,0.018
3,20-49,0.0182
2,0-19,0.0145
3,20-49,0.0162
3,20-49,0.0166
3,0-19,0.0166
3,20-49,0.0164
3,0-19,0.0165
3,20-49,0.0171
3,0-19,0.0171
3,0-19,0.0185
3,20-49,0.0175
2,20-49,0.0141
3,0-19,0.0177
3,20-49,0.0161
3,20-49,0.0179
3,more than 50,0.0168
3,more than 50,0.0166
3,more than 50,0.0155
3,0-19,0.0156
3,more than 50,0.0185
3,more than 50,0.0171
3,20-49,0.0173
3,more than 50,0.0177
2,20-49,0.0141
3,20-49,0.0169
3,0-19,0.0161
3,0-19,0.0154
3,more than 50,0.0168
3,20-49,0.0171
3,20-49,0.0178
3,0-19,0.017
3,20-49,0.0175
3,more than 50,0.0181
3,more than 50,0.0186
3,0-19,0.018
2,more than 50,0.015
3,20-49,0.0176
3,more than 50,0.0183
3,0-19,0.019
3,20-49,0.0171
3,0-19,0.0194
3,more than 50,0.0193
3,more than 50,0.0186
1,0-19,0.0101
3,0-19,0.017
3,more than 50,0.0192
3,20-49,0.0186
3,20-49,0.0183
3,more than 50,0.0188
3,more than 50,0.0194
3,0-19,0.0165
3,more than 50,0.0166
3,more than 50,0.0175
3,more than 50,0.0155
3,0-19,0.0161
3,more than 50,0.016
3,more than 50,0.0169
3,20-49,0.0161
3,more than 50,0.018
3,20-49,0.0167
3,more than 50,0.0167
2,0-19,0.014
3,20-49,0.018
3,more than 50,0.0157
3,more than 50,0.0167
3,more than 50,0.018
3,20-49,0.017
3,0-19,0.0162
3,0-19,0.0182
3,more than 50,0.0174
3,more than 50,0.0166
3,0-19,0.0163
3,more than 50,0.0181
3,more than 50,0.0171
3,0-19,0.0175
3,20-49,0.0165
2,0-19,0.0147
3,0-19,0.0169
3,20-49,0.0163
3,20-49,0.0183
3,20-49,0.0165
3,20-49,0.017
3,20-49,0.0168
3,20-49,0.0171
3,more than 50,0.0164
3,20-49,0.0165
3,20-49,0.0173
3,20-49,0.0168
2,more than 50,0.0142
1,0-19,0.0092
3,20-49,0.0175
3,20-49,0.0171
3,0-19,0.0176
3,20-49,0.0161
3,more than 50,0.0166
3,0-19,0.0165
3,0-19,0.0164
2,more than 50,0.014
2,0-19,0.0128
3,20-49,0.0168
3,more than 50,0.0174
2,20-49,0.0145
3,more than 50,0.0172
3,more than 50,0.0162
2,more than 50,0.0143
2,0-19,0.0152
3,more than 50,0.0183
3,more than 50,0.017
3,more than 50,0.0183
3,0-19,0.017
2,more than 50,0.0142
3,20-49,0.0162
3,20-49,0.0173
3,20-49,0.0174
3,0-19,0.0179
3,0-19,0.0175
3,20-49,0.0171
3,20-49,0.0168
3,20-49,0.0151
1,0-19,0.0099
3,more than 50,0.0152
3,0-19,0.0155
3,0-19,0.0179
3,20-49,0.0158
3,20-49,0.017
3,20-49,0.0163
2,more than 50,0.0133
3,more than 50,0.0162
3,0-19,0.0164
3,more than 50,0.0167
3,20-49,0.0163
3,0-19,0.0158
3,20-49,0.0159
3,more than 50,0.0158
3,more than 50,0.0177
3,20-49,0.0172
3,more than 50,0.0179
1,0-19,0.0102
3,20-49,0.0171
3,more than 50,0.0168
3,0-19,0.0157
3,more than 50,0.0167
3,20-49,0.0156
3,0-19,0.0175
3,0-19,0.0173
3,20-49,0.016
3,20-49,0.018
3,20-49,0.0176
3,more than 50,0.0162
3,0-19,0.017
3,0-19,0.0168
1,0-19,0.0088
3,0-19,0.0161
3,20-49,0.0176
3,more than 50,0.017
3,0-19,0.0164
3,more than 50,0.0165
3,20-49,0.0171
3,20-49,0.0168
3,more than 50,0.0163
3,0-19,0.0177
3,0-19,0.0171
3,more than 50,0.0169
3,0-19,0.0165
3,0-19,0.0165
3,more than 50,0.0173
3,0-19,0.0166
3,20-49,0.0169
3,0-19,0.0156
3,20-49,0.0176
3,20-49,0.0163
3,20-49,0.0174
3,more than 50,0.0171
2,more than 50,0.0142
3,more than 50,0.0154
3,20-49,0.0161
3,0-19,0.0165
3,20-49,0.0164
3,more than 50,0.0164
3,20-49,0.017
1,0-19,0.0093
3,more than 50,0.0164
3,20-49,0.0167
3,0-19,0.0178
3,0-19,0.0167
3,0-19,0.0163
3,more than 50,0.016
3,20-49,0.0163
3,20-49,0.0161
3,more than 50,0.0171
3,0-19,0.0161
2,0-19,0.0134
3,20-49,0.0164
3,more than 50,0.0169
3,more than 50,0.0177
1,0-19,0.009
3,20-49,0.0164
3,20-49,0.0167
3,more than 50,0.0172
3,more than 50,0.017
3,more than 50,0.0165
3,more than 50,0.0175
3,0-19,0.0171
3,0-19,0.0208
3,20-49,0.0182
3,20-49,0.0169
2,more than 50,0.0139
3,0-19,0.0178
3,20-49,0.0165
3,0-19,0.0169
3,more than 50,0.0186
3,20-49,0.0181
3,0-19,0.0169
3,0-19,0.0166
3,0-19,0.017
3,more than 50,0.017
3,0-19,0.0171
2,0-19,0.0149
3,20-49,0.0163
3,more than 50,0.0156
3,0-19,0.0157
3,20-49,0.0174
2,more than 50,0.0141
3,0-19,0.0175
3,0-19,0.0217
2,0-19,0.0167
3,0-19,0.0186
2,0-19,0.0159
3,20-49,0.0171
2,0-19,0.0143
3,more than 50,0.0167
3,more than 50,0.0178
3,0-19,0.0169
3,20-49,0.0173
3,20-49,0.0171
3,20-49,0.0175
3,0-19,0.0167
2,more than 50,0.0136
2,20-49,0.0153
3,20-49,0.0173
3,more than 50,0.0165
3,more than 50,0.0175
3,more than 50,0.0174
3,20-49,0.0172
3,0-19,0.0184
3,0-19,0.0159
3,20-49,0.0177
3,more than 50,0.0169
2,0-19,0.0144
3,more than 50,0.0184
3,0-19,0.0192
2,0-19,0.0151
3,more than 50,0.0179
3,more than 50,0.0176
3,more than 50,0.0167
3,0-19,0.019
3,20-49,0.0173
3,20-49,0.0163
2,more than 50,0.0139
3,more than 50,0.0165
3,more than 50,0.017
3,20-49,0.0176
3,0-19,0.0169
1,0-19,0.0096
3,0-19,0.0174
3,20-49,0.0181
3,20-49,0.0161
3,more than 50,0.0181
3,more than 50,0.017
2,0-19,0.0144
3,20-49,0.0163
3,20-49,0.0172
3,0-19,0.0182
3,20-49,0.017
3,20-49,0.0163
3,0-19,0.0163
3,more than 50,0.0175
3,20-49,0.0171
3,20-49,0.0167
3,20-49,0.0157
3,20-49,0.0169
3,0-19,0.017
3,20-49,0.0164
2,0-19,0.0141
3,20-49,0.0157
3,20-49,0.0158
3,more than 50,0.0172
3,more than 50,0.0169
3,20-49,0.0175
3,more than 50,0.0173
3,more than 50,0.0171
3,20-49,0.0169
2,more than 50,0.014
3,20-49,0.0162
3,20-49,0.0166
1,more than 50,0.0096
3,0-19,0.0172
3,0-19,0.0165
2,0-19,0.0133
3,more than 50,0.0168
3,20-49,0.0161
3,more than 50,0.017
3,0-19,0.0172
3,20-49,0.0162
3,20-49,0.0173
3,more than 50,0.0166
3,more than 50,0.0163
3,20-49,0.0155
3,0-19,0.0173
3,more than 50,0.0172
1,0-19,0.0094
3,20-49,0.0166
3,20-49,0.016
1,0-19,0.0098
3,more than 50,0.0161
3,more than 50,0.0158
2,0-19,0.0142
3,20-49,0.0179
2,more than 50,0.0141
3,more than 50,0.0185
3,0-19,0.0171
3,20-49,0.0179
3,more than 50,0.0179
2,more than 50,0.0147
3,20-49,0.0168
3,more than 50,0.0175
3,more than 50,0.0166
3,20-49,0.017
3,more than 50,0.0176
3,more than 50,0.0163
2,more than 50,0.0136
3,20-49,0.0176
3,0-19,0.0171
1,0-19,0.0101
3,20-49,0.0164
3,20-49,0.017
3,0-19,0.0165
3,20-49,0.0186
3,0-19,0.016
3,20-49,0.017
3,more than 50,0.0166
3,0-19,0.0154
3,20-49,0.0163
3,more than 50,0.0162
3,more than 50,0.0169
1,0-19,0.0087
3,20-49,0.0173
2,0-19,0.0132
3,20-49,0.0174
3,20-49,0.0167
3,more than 50,0.016
3,20-49,0.0179
3,more than 50,0.0165
3,0-19,0.0157
1,0-19,0.009
3,more than 50,0.0174
3,20-49,0.0162
3,20-49,0.0164
3,20-49,0.0169
3,0-19,0.0162
3,20-49,0.0178
3,0-19,0.0174
3,20-49,0.017
3,more than 50,0.0171
3,more than 50,0.0187
3,more than 50,0.0193
3,more than 50,0.017
3,20-49,0.0172
3,20-49,0.0159
3,0-19,0.0174
2,more than 50,0.0136
1,more than 50,0.0105
3,0-19,0.0175
3,0-19,0.0182
3,20-49,0.0174
3,more than 50,0.0171
3,0-19,0.0171
3,0-19,0.0163
2,0-19,0.0139
3,more than 50,0.0178
3,20-49,0.018
3,20-49,0.0187
3,more than 50,0.0177
3,20-49,0.0181
3,more than 50,0.017
3,20-49,0.0173
3,0-19,0.0172
3,20-49,0.0159
3,more than 50,0.0183
3,20-49,0.0155
3,20-49,0.0168
3,0-19,0.0174
2,0-19,0.0148
3,0-19,0.0158
3,more than 50,0.0171
3,more than 50,0.017
3,20-49,0.0161
3,20-49,0.016
2,more than 50,0.0151
3,0-19,0.0163
3,20-49,0.0166
3,20-49,0.0168
3,20-49,0.0173
3,0-19,0.0156
3,more than 50,0.0181
3,more than 50,0.0174
2,20-49,0.015
3,more than 50,0.0167
3,20-49,0.0168
3,20-49,0.016
3,more than 50,0.0169
3,20-49,0.0163
2,more than 50,0.0146
3,0-19,0.018
3,0-19,0.0174
3,20-49,0.0164
3,more than 50,0.0183
3,more than 50,0.0162
3,more than 50,0.0173
3,0-19,0.0158
3,20-49,0.0168
3,more than 50,0.0159
1,0-19,0.0097
3,0-19,0.0169
3,0-19,0.0168
3,0-19,0.0188
3,20-49,0.0166
1,0-19,0.0098
3,more than 50,0.0167
3,more than 50,0.0164
3,more than 50,0.0167
3,20-49,0.0165
3,20-49,0.0174
3,more than 50,0.0173
3,20-49,0.0157
3,0-19,0.0171
2,more than 50,0.014
3,20-49,0.0157
3,20-49,0.0168
3,more than 50,0.0169
2,more than 50,0.014
3,20-49,0.0164
3,0-19,0.0173
2,0-19,0.0149
3,0-19,0.0178
1,0-19,0.0096
3,more than 50,0.0171
3,20-49,0.0165
3,more than 50,0.0179
3,20-49,0.0172
1,0-19,0.01
3,0-19,0.0167
1,more than 50,0.0094
3,0-19,0.0169
3,0-19,0.0181
3,0-19,0.0171
3,20-49,0.0171
3,0-19,0.0165
3,0-19,0.0168
3,20-49,0.0164
3,20-49,0.0158
3,0-19,0.018
3,20-49,0.0178
3,more than 50,0.0177
3,more than 50,0.0165
3,0-19,0.0171
3,more than 50,0.0194
3,more than 50,0.0165
3,20-49,0.018
3,20-49,0.0175
3,0-19,0.0175
3,more than 50,0.018
3,more than 50,0.0165
3,20-49,0.0177
3,more than 50,0.0176
3,0-19,0.0173
3,20-49,0.0191
3,more than 50,0.0179
3,20-49,0.0238
3,20-49,0.0198
3,20-49,0.019
1,0-19,0.0105
3,0-19,0.0167
1,0-19,0.0093
3,20-49,0.0169
3,more than 50,0.0172
3,more than 50,0.0181
3,0-19,0.0186
3,0-19,0.0171
3,more than 50,0.0173
3,20-49,0.0169
3,more than 50,0.0174
3,20-49,0.0176
3,20-49,0.0178
2,more than 50,0.0144
3,more than 50,0.0176
3,0-19,0.018
3,more than 50,0.0175
1,0-19,0.0099
3,more than 50,0.0186
3,more than 50,0.0172
3,20-49,0.0185
3,20-49,0.0179
1,more than 50,0.0113
1,0-19,0.0106
3,20-49,0.0191
3,0-19,0.0203
3,20-49,0.0201
3,more than 50,0.0183
3,20-49,0.0185
3,more than 50,0.0197
3,0-19,0.0192
3,20-49,0.0174
3,20-49,0.0187
3,0-19,0.0184
3,20-49,0.0167
3,more than 50,0.018
3,20-49,0.0176
3,20-49,0.017
3,0-19,0.0173
1,0-19,0.0104
3,20-49,0.0168
3,more than 50,0.0174
3,20-49,0.0176
3,more than 50,0.0189
3,more than 50,0.0182
3,more than 50,0.0174
3,0-19,0.0186
3,20-49,0.0177
3,0-19,0.0178
2,more than 50,0.0156
3,20-49,0.0186
3,more than 50,0.0174
2,more than 50,0.0147
2,more than 50,0.0149
1,0-19,0.0099
3,more than 50,0.018
1,0-19,0.0093
3,20-49,0.0155
2,0-19,0.0134
3,more than 50,0.0157
3,0-19,0.0177
3,20-49,0.0163
3,20-49,0.0164
3,more than 50,0.0177
1,0-19,0.0094
3,more than 50,0.0168
3,20-49,0.0158
3,more than 50,0.0166
3,more than 50,0.0182
3,20-49,0.0163
3,20-49,0.0176
3,20-49,0.0167
3,more than 50,0.0159
3,20-49,0.0168
3,0-19,0.0169
3,20-49,0.0171
3,more than 50,0.0167
3,20-49,0.0181
3,more than 50,0.015
3,0-19,0.0166
3,more than 50,0.0181
3,0-19,0.0194
3,more than 50,0.017
3,20-49,0.0162
1,more than 50,0.0096
3,20-49,0.0161
3,20-49,0.0182
3,20-49,0.0155
3,20-49,0.0172
3,0-19,0.0177
3,more than 50,0.0175
2,0-19,0.0147
3,20-49,0.0159
3,more than 50,0.0178
3,20-49,0.0176
3,20-49,0.0158
3,20-49,0.0174
3,0-19,0.016
3,more than 50,0.0161
2,more than 50,0.0143
3,more than 50,0.0175
3,more than 50,0.0176
2,0-19,0.0148
2,0-19,0.0142
3,more than 50,0.017
3,more than 50,0.0158
3,more than 50,0.0158
2,more than 50,0.0141
3,0-19,0.0157
3,more than 50,0.0169
3,more than 50,0.0169
3,20-49,0.0165
2,20-49,0.0148
2,0-19,0.0141
2,0-19,0.0143
3,more than 50,0.0162
3,20-49,0.016
3,0-19,0.0165
3,0-19,0.0185
3,20-49,0.0175
3,0-19,0.0159
3,20-49,0.017
2,0-19,0.0147
3,more than 50,0.0174
3,0-19,0.017
3,more than 50,0.0178
3,0-19,0.0164
3,0-19,0.0166
3,20-49,0.0164
3,0-19,0.0167
3,0-19,0.0151
3,0-19,0.0174
3,more than 50,0.0172
3,more than 50,0.0175
3,more than 50,0.0169
3,20-49,0.0171
3,0-19,0.0174
2,more than 50,0.0143
3,more than 50,0.0172
2,0-19,0.0141
3,20-49,0.0168
2,0-19,0.0144
3,20-49,0.0168
3,more than 50,0.0163
3,more than 50,0.016
3,20-49,0.0174
3,0-19,0.0163
3,20-49,0.0158
3,more than 50,0.0175
3,more than 50,0.0167
3,20-49,0.0169
3,20-49,0.016
3,20-49,0.0165
3,20-49,0.0172
3,20-49,0.0172
2,20-49,0.0143
3,0-19,0.0154
2,0-19,0.0138
3,0-19,0.0184
3,20-49,0.0167
3,20-49,0.0165
3,0-19,0.0162
3,20-49,0.0168
3,more than 50,0.0175
3,0-19,0.0173
3,0-19,0.0166
3,20-49,0.0169
3,more than 50,0.0167
3,20-49,0.0176
3,0-19,0.0169
3,0-19,0.0184
2,more than 50,0.0144
1,more than 50,0.0097
2,more than 50,0.0147
3,0-19,0.0171
3,more than 50,0.0166
3,more than 50,0.017
3,20-49,0.0165
3,0-19,0.0164
3,20-49,0.0171
3,20-49,0.0158
3,more than 50,0.0168
1,more than 50,0.009
2,0-19,0.0137
3,20-49,0.017
3,0-19,0.0197
3,20-49,0.0176
3,20-49,0.0163
3,0-19,0.016
3,20-49,0.0172
3,more than 50,0.0177
3,more than 50,0.0167
1,0-19,0.0093
3,20-49,0.0165
2,0-19,0.0147
3,20-49,0.0166
3,20-49,0.0173
3,20-49,0.0176
3,0-19,0.0169
3,more than 50,0.018
3,0-19,0.017
2,0-19,0.0141
2,more than 50,0.0137
3,20-49,0.0174
3,more than 50,0.0157
3,0-19,0.0176
2,0-19,0.0153
3,0-19,0.0183
3,20-49,0.0176
3,more than 50,0.0179
3,more than 50,0.0172
3,more than 50,0.0169
3,20-49,0.0178
2,20-49,0.0137
3,more than 50,0.0171
3,0-19,0.016
3,more than 50,0.0157
3,0-19,0.0182
3,20-49,0.0173
3,more than 50,0.0172
3,20-49,0.0169
3,0-19,0.0169
3,20-49,0.0202
3,0-19,0.0181
3,20-49,0.0174
3,0-19,0.0169
3,more than 50,0.0165
3,0-19,0.0164
3,20-49,0.017
3,more than 50,0.0172
3,0-19,0.0174
3,0-19,0.0179
2,more than 50,0.0153
1,0-19,0.0093
3,20-49,0.0175
3,20-49,0.017
2,0-19,0.0142
3,0-19,0.0172
3,0-19,0.0188
3,more than 50,0.0178
3,20-49,0.0171
3,20-49,0.0165
3,more than 50,0.0174
3,20-49,0.017
2,more than 50,0.0149
3,20-49,0.0173
3,more than 50,0.0164
3,20-49,0.0172
3,20-49,0.021
3,20-49,0.0216
2,20-49,0.0158
1,0-19,0.0105
3,more than 50,0.0167
3,more than 50,0.0167
3,0-19,0.0159
3,more than 50,0.0164
2,0-19,0.0144
3,20-49,0.0187
1,more than 50,0.0096
3,20-49,0.016
3,20-49,0.0171
3,20-49,0.0166
3,20-49,0.0171
3,0-19,0.0192
3,20-49,0.017
3,more than 50,0.0172
3,more than 50,0.0172
3,0-19,0.0176
3,20-49,0.0166
3,more than 50,0.0155
3,more than 50,0.017
3,more than 50,0.0169
3,0-19,0.0188
3,0-19,0.0175
3,0-19,0.0173
3,20-49,0.0186
3,20-49,0.0169
3,more than 50,0.0182
3,more than 50,0.0174
3,more than 50,0.0176
3,20-49,0.0163
2,more than 50,0.0139
3,more than 50,0.018
3,0-19,0.0177
3,0-19,0.0188
3,0-19,0.0174
3,20-49,0.0172
3,20-49,0.0172
3,0-19,0.0169
3,20-49,0.0168
3,0-19,0.0186
2,0-19,0.0148
3,20-49,0.0174
3,0-19,0.0165
3,more than 50,0.0166
2,20-49,0.0144
3,more than 50,0.017
3,more than 50,0.0172
3,0-19,0.0181
3,0-19,0.0174
2,0-19,0.0153
3,0-19,0.0179
3,more than 50,0.0171
3,0-19,0.0165
3,20-49,0.0163
3,20-49,0.0168
3,20-49,0.0167
3,20-49,0.0157
3,20-49,0.016
3,more than 50,0.0176
2,0-19,0.0146
2,0-19,0.0151
3,0-19,0.0163
3,0-19,0.0173
3,20-49,0.0168
3,0-19,0.0185
3,20-49,0.0158
3,20-49,0.0166
3,more than 50,0.017
3,0-19,0.0162
3,more than 50,0.0162
3,20-49,0.0209
2,more than 50,0.0157
3,more than 50,0.0167
3,0-19,0.0169
3,0-19,0.0162
1,more than 50,0.0093
3,20-49,0.0173
3,20-49,0.0163
3,more than 50,0.017
3,20-49,0.0178
2,more than 50,0.0139
3,20-49,0.0165
1,0-19,0.0094
3,0-19,0.0174
3,0-19,0.0185
3,0-19,0.0194
3,more than 50,0.0169
3,20-49,0.0176
3,more than 50,0.0169
3,more than 50,0.0164
1,0-19,0.0102
3,more than 50,0.0151
2,0-19,0.0139
2,0-19,0.0148
3,0-19,0.0168
3,more than 50,0.0156
3,0-19,0.0164
2,0-19,0.0139
3,0-19,0.0188
3,20-49,0.0162
2,more than 50,0.0153
1,0-19,0.0096
1,0-19,0.0087
3,20-49,0.0167
3,more than 50,0.0174
3,more than 50,0.0178
2,0-19,0.0141
3,more than 50,0.0155
2,0-19,0.0158
3,more than 50,0.0174
3,20-49,0.0205
2,0-19,0.0149
3,20-49,0.0178
3,20-49,0.0175
3,20-49,0.0183
3,more than 50,0.0163
3,20-49,0.0167
3,more than 50,0.017
2,0-19,0.0141
2,0-19,0.0139
2,0-19,0.0148
2,more than 50,0.0145
3,20-49,0.0158
2,0-19,0.0139
3,more than 50,0.0161
3,20-49,0.0161
3,more than 50,0.0175
3,0-19,0.0168
3,20-49,0.0175
3,0-19,0.0167
3,20-49,0.0166
3,more than 50,0.0168
3,20-49,0.0161
3,20-49,0.0171
3,more than 50,0.0153
3,more than 50,0.0171
3,20-49,0.0169
3,0-19,0.018
2,more than 50,0.0168
3,20-49,0.0161
1,0-19,0.0094
3,more than 50,0.017
3,0-19,0.0162
3,20-49,0.0174
3,20-49,0.0165
3,20-49,0.0169
3,0-19,0.0186
3,20-49,0.0181
3,more than 50,0.0184
2,0-19,0.0136
3,20-49,0.0171
3,more than 50,0.0162
3,0-19,0.0159
3,20-49,0.0167
1,0-19,0.0093
3,20-49,0.0161
3,0-19,0.0171
3,0-19,0.0168
3,0-19,0.0168
3,more than 50,0.0179
3,20-49,0.0172
3,more than 50,0.0172
2,more than 50,0.0134
3,more than 50,0.0164
3,20-49,0.0171
1,0-19,0.0094
3,more than 50,0.0165
3,0-19,0.0168
3,20-49,0.0183
3,more than 50,0.0167
2,more than 50,0.0148
3,20-49,0.0158
3,0-19,0.0158
3,20-49,0.0172
2,0-19,0.0148
3,more than 50,0.0162
2,0-19,0.0154
3,0-19,0.0174
3,0-19,0.0175
3,20-49,0.0169
2,0-19,0.015
3,20-49,0.0162
3,more than 50,0.0176
3,0-19,0.0171
3,0-19,0.0174
1,more than 50,0.0095
3,20-49,0.0169
1,0-19,0.0093
3,20-49,0.017
3,20-49,0.0173
3,0-19,0.0175
1,0-19,0.0088
3,0-19,0.0154
3,20-49,0.0184
1,more than 50,0.0088
3,0-19,0.0175
3,20-49,0.0203
3,more than 50,0.0167
3,20-49,0.0164
2,more than 50,0.0132
3,more than 50,0.0156
3,0-19,0.0163
3,20-49,0.0158
3,20-49,0.017
3,more than 50,0.0161
3,20-49,0.0167
2,0-19,0.0147
3,20-49,0.0165
3,20-49,0.0164
3,more than 50,0.0161
3,more than 50,0.0172
2,20-49,0.0148
3,20-49,0.0176
1,0-19,0.0099
3,20-49,0.0161
2,more than 50,0.0151
2,20-49,0.014
2,0-19,0.0143
3,0-19,0.0179
2,0-19,0.0144
3,20-49,0.0166
3,more than 50,0.0171
3,more than 50,0.0163
3,more than 50,0.0181
3,20-49,0.0176
3,0-19,0.0177
3,more than 50,0.016
3,20-49,0.016
3,0-19,0.0186
3,more than 50,0.0167
3,more than 50,0.0167
3,20-49,0.0174
3,0-19,0.0166
3,more than 50,0.0174
3,more than 50,0.0161
3,more than 50,0.0164
3,more than 50,0.0173
2,20-49,0.0146
3,more than 50,0.0169
2,more than 50,0.014
3,20-49,0.0172
3,0-19,0.0175
2,0-19,0.0147
3,0-19,0.0173
3,20-49,0.0174
2,0-19,0.0144
3,20-49,0.0163
2,more than 50,0.0146
2,more than 50,0.0143
3,0-19,0.0167
3,0-19,0.0174
2,0-19,0.0143
3,20-49,0.018
1,more than 50,0.0108
3,0-19,0.0213
3,more than 50,0.0205
3,more than 50,0.0179
3,20-49,0.0168
3,20-49,0.0169
3,0-19,0.0177
3,20-49,0.0159
2,0-19,0.0145
3,20-49,0.0162
3,0-19,0.0159
3,0-19,0.0169
3,0-19,0.0176
3,more than 50,0.0174
3,0-19,0.0166
3,more than 50,0.0168
3,more than 50,0.0171
3,more than 50,0.0162
3,20-49,0.017
3,more than 50,0.0163
3,more than 50,0.0165
3,0-19,0.0172
3,more than 50,0.0161
2,more than 50,0.0139
3,more than 50,0.0161
3,20-49,0.0159
3,20-49,0.0195
3,more than 50,0.0184
3,more than 50,0.0183
3,0-19,0.018
3,20-49,0.0175
2,more than 50,0.0139
3,more than 50,0.0155
3,20-49,0.0174
3,more than 50,0.017
3,more than 50,0.0168
3,0-19,0.0158
3,more than 50,0.0174
3,more than 50,0.0174
3,0-19,0.0203
1,more than 50,0.0092
3,more than 50,0.017
3,more than 50,0.0179
2,0-19,0.0135
3,20-49,0.0159
3,20-49,0.0177
2,more than 50,0.0152
3,20-49,0.0171
2,more than 50,0.0132
3,0-19,0.017
3,0-19,0.0177
2,0-19,0.0148
3,0-19,0.0173
3,0-19,0.0163
3,more than 50,0.0167
2,more than 50,0.0133
3,more than 50,0.0171
2,20-49,0.0141
3,more than 50,0.0171
3,20-49,0.0173
3,0-19,0.0169
3,20-49,0.0166
3,20-49,0.0169
3,0-19,0.0178
1,0-19,0.0088
3,20-49,0.0159
3,0-19,0.0181
3,0-19,0.017
2,0-19,0.0137
3,more than 50,0.0167
3,more than 50,0.0173
3,0-19,0.0165
3,more than 50,0.0166
3,more than 50,0.0164
3,0-19,0.0165
3,0-19,0.0158
3,0-19,0.0164
3,0-19,0.0166
3,more than 50,0.0184
3,more than 50,0.0169
3,0-19,0.0184
1,0-19,0.009
3,0-19,0.0173
3,0-19,0.0162
2,more than 50,0.0137
3,20-49,0.018
3,more than 50,0.0167
3,more than 50,0.0162
3,20-49,0.0183
3,more than 50,0.018
3,0-19,0.016
3,more than 50,0.0165
3,20-49,0.0171
3,20-49,0.0156
3,20-49,0.0157
3,more than 50,0.0166
3,20-49,0.0181
2,0-19,0.0149
3,0-19,0.0156
3,0-19,0.0169
3,more than 50,0.0177
3,20-49,0.0173
2,0-19,0.014
3,more than 50,0.0177
3,20-49,0.0167
3,20-49,0.0193
2,0-19,0.0171
3,20-49,0.0368
3,20-49,0.0169
3,0-19,0.0163
3,20-49,0.0164
3,more than 50,0.016
2,0-19,0.0144
3,20-49,0.0159
3,more than 50,0.0163
3,20-49,0.0188
3,0-19,0.017
3,0-19,0.0166
3,more than 50,0.0175
3,20-49,0.0161
3,0-19,0.0163
3,more than 50,0.0177
2,more than 50,0.0158
3,more than 50,0.0172
3,20-49,0.0178
1,0-19,0.0098
3,0-19,0.0163
3,more than 50,0.0157
3,20-49,0.0166
2,0-19,0.0141
3,20-49,0.0162
3,more than 50,0.0168
3,20-49,0.0157
3,20-49,0.0157
3,0-19,0.0169
3,0-19,0.0163
3,20-49,0.0164
3,more than 50,0.0179
3,20-49,0.0168
3,more than 50,0.017
3,0-19,0.017
3,0-19,0.0167
3,more than 50,0.0163
3,20-49,0.0179
3,more than 50,0.0164
3,20-49,0.0165
3,more than 50,0.0157
3,more than 50,0.0184
3,20-49,0.02
3,0-19,0.0178
3,0-19,0.0181
3,0-19,0.0173
3,more than 50,0.0167
3,20-49,0.0168
3,20-49,0.0169
3,more than 50,0.0166
3,0-19,0.0155
3,20-49,0.0167
2,more than 50,0.014
3,more than 50,0.0167
3,20-49,0.0176
2,0-19,0.0143
3,more than 50,0.0163
2,0-19,0.0135
3,20-49,0.0156
3,20-49,0.017
3,more than 50,0.0165
3,more than 50,0.0168
3,0-19,0.0169
3,0-19,0.0166
3,0-19,0.0161
3,20-49,0.0173
2,more than 50,0.0146
2,20-49,0.0141
3,20-49,0.0174
3,more than 50,0.0153
3,0-19,0.0162
3,0-19,0.0167
3,0-19,0.0167
3,more than 50,0.0183
3,0-19,0.0159
3,more than 50,0.0162
3,more than 50,0.0174
2,0-19,0.0144
3,20-49,0.0174
3,0-19,0.0176
3,20-49,0.0175
3,more than 50,0.0166
3,more than 50,0.0163
2,0-19,0.0145
3,0-19,0.0176
3,20-49,0.0168
3,20-49,0.0149
3,20-49,0.0172
2,0-19,0.0143
3,20-49,0.0157
3,20-49,0.0166
3,20-49,0.0166
3,more than 50,0.017
3,0-19,0.0172
2,0-19,0.0139
3,20-49,0.0169
2,0-19,0.0145
2,more than 50,0.0139
3,0-19,0.0163
3,more than 50,0.0178
3,0-19,0.0172
3,more than 50,0.0162
3,20-49,0.0173
3,20-49,0.0162
3,more than 50,0.0164
3,20-49,0.0164
3,0-19,0.0165
3,more than 50,0.0172
3,0-19,0.018
3,0-19,0.0168
3,more than 50,0.0163
3,more than 50,0.0164
3,more than 50,0.0173
3,0-19,0.0162
3,more than 50,0.0173
3,0-19,0.0161
3,0-19,0.0156
3,0-19,0.0175
3,more than 50,0.0169
3,0-19,0.0176
3,20-49,0.0151
3,20-49,0.0172
3,20-49,0.0167
2,0-19,0.0139
3,more than 50,0.0176
3,more than 50,0.0174
3,20-49,0.0174
3,0-19,0.017
2,0-19,0.0147
3,more than 50,0.0173
3,more than 50,0.0163
3,more than 50,0.016
3,more than 50,0.0175
3,20-49,0.0174
3,0-19,0.0151
3,0-19,0.0161
